epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1109.81,1.8868,2.23258,1.96392,0.44616,0.3628,0.34783,0.13467,1.96918,2.13543,2.00222,0.000990365,0.000990365,0.000990365
43,1136.63,1.90172,2.24571,1.96508,0.527,0.32131,0.35174,0.12992,1.98558,2.15637,2.04241,0.000973861,0.000973861,0.000973861
44,1163,1.88088,2.21976,1.9579,0.53207,0.34691,0.39048,0.15655,1.91051,2.07494,1.97525,0.000957358,0.000957358,0.000957358
45,1188.91,1.86863,2.16998,1.94148,0.44601,0.37451,0.37897,0.1716,1.87314,2.03592,1.93543,0.000940855,0.000940855,0.000940855
46,1214.62,1.85054,2.16027,1.92417,0.55489,0.34726,0.39373,0.15218,1.91545,2.01543,1.96555,0.000924352,0.000924352,0.000924352
47,1240.65,1.83172,2.16927,1.91015,0.58708,0.36331,0.40102,0.16158,1.84393,1.9789,1.90718,0.000907848,0.000907848,0.000907848
48,1267.02,1.81613,2.12944,1.91051,0.56861,0.38288,0.41012,0.17307,1.91678,2.03008,1.97975,0.000891345,0.000891345,0.000891345
49,1293.89,1.83232,2.13211,1.9159,0.5191,0.42706,0.45535,0.19425,1.84128,1.99593,1.89421,0.000874842,0.000874842,0.000874842
50,1320.44,1.81363,2.11131,1.89565,0.59904,0.35968,0.42486,0.18671,1.82354,1.91694,1.88978,0.000858338,0.000858338,0.000858338
51,1346.74,1.80885,2.10321,1.89,0.55548,0.37473,0.41354,0.17714,1.8714,2.01745,1.88498,0.000841835,0.000841835,0.000841835
52,1372.71,1.78037,2.09935,1.87057,0.5489,0.43293,0.45146,0.19564,1.82485,1.92339,1.90598,0.000825332,0.000825332,0.000825332
53,1397.73,1.79569,2.07402,1.86953,0.63934,0.44011,0.45521,0.196,1.84555,1.96468,1.91361,0.000808828,0.000808828,0.000808828
54,1423.48,1.81192,2.09342,1.8734,0.63658,0.42099,0.45949,0.19956,1.80159,1.93065,1.86223,0.000792325,0.000792325,0.000792325
55,1449.78,1.79231,2.06476,1.87381,0.48978,0.4639,0.43798,0.17975,1.85471,2.0109,1.90573,0.000775822,0.000775822,0.000775822
56,1475.89,1.77763,2.05292,1.85967,0.58373,0.51352,0.52696,0.21498,1.77595,1.92539,1.87667,0.000759318,0.000759318,0.000759318
57,1502.5,1.74756,2.01596,1.83109,0.52778,0.45646,0.45522,0.18391,1.79644,1.91255,1.86007,0.000742815,0.000742815,0.000742815
58,1528.54,1.74423,2.02408,1.8151,0.53144,0.4878,0.49879,0.22427,1.8174,1.89957,1.90008,0.000726312,0.000726312,0.000726312
59,1553.89,1.76585,2.02425,1.85573,0.5815,0.45441,0.46471,0.18821,1.83484,2.04535,1.88914,0.000709809,0.000709809,0.000709809
60,1579.47,1.74904,2.00115,1.82485,0.62221,0.51144,0.52315,0.22567,1.75797,1.81691,1.84934,0.000693305,0.000693305,0.000693305
61,1606.23,1.71224,1.96405,1.82148,0.66928,0.41658,0.48484,0.20396,1.78021,1.97781,1.83858,0.000676802,0.000676802,0.000676802
62,1632.79,1.72024,1.99068,1.81145,0.5783,0.49037,0.51647,0.22084,1.73286,1.85166,1.82612,0.000660299,0.000660299,0.000660299
63,1659.4,1.70291,1.93482,1.80152,0.64372,0.51072,0.54869,0.24674,1.73061,1.7689,1.80467,0.000643795,0.000643795,0.000643795
64,1685.98,1.69845,1.93246,1.81275,0.60368,0.53226,0.52904,0.23047,1.76933,1.78992,1.86164,0.000627292,0.000627292,0.000627292
65,1712.4,1.72104,1.93718,1.80574,0.53911,0.46893,0.48607,0.21823,1.77036,1.82763,1.82166,0.000610789,0.000610789,0.000610789
66,1738.78,1.71152,1.94381,1.79923,0.539,0.46209,0.49701,0.22368,1.73489,1.80682,1.82007,0.000594286,0.000594286,0.000594286
67,1764.56,1.70647,1.93379,1.77508,0.65163,0.44902,0.52719,0.24726,1.70846,1.75998,1.79167,0.000577782,0.000577782,0.000577782
