epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1805.21,1.60112,1.60995,1.72844,0.69144,0.65768,0.68388,0.39718,1.72463,1.57666,1.76093,0.00110314,0.00110314,0.00110314
43,1847.38,1.61337,1.6056,1.72022,0.69331,0.64898,0.70171,0.42128,1.66488,1.53672,1.74238,0.00108938,0.00108938,0.00108938
44,1895.14,1.58763,1.58196,1.68709,0.6842,0.63384,0.68182,0.39751,1.69096,1.53219,1.75667,0.00107563,0.00107563,0.00107563
45,1937.18,1.57672,1.54946,1.68288,0.67272,0.65225,0.68164,0.38367,1.75246,1.63426,1.76394,0.00106188,0.00106188,0.00106188
46,1980.58,1.59404,1.5582,1.67248,0.73454,0.64081,0.69849,0.415,1.68301,1.52833,1.74342,0.00104813,0.00104813,0.00104813
47,2023.09,1.53974,1.51947,1.64556,0.52663,0.58457,0.57906,0.33231,1.72206,1.64038,1.78003,0.00103437,0.00103437,0.00103437
48,2066.26,1.56654,1.55637,1.66198,0.67755,0.68839,0.69345,0.41676,1.63774,1.53436,1.71808,0.00102062,0.00102062,0.00102062
49,2109.04,1.55002,1.54214,1.64561,0.46766,0.61289,0.56556,0.34299,1.72157,1.63546,1.7657,0.00100687,0.00100687,0.00100687
50,2151.5,1.5382,1.51268,1.6457,0.62492,0.67735,0.69643,0.42535,1.66321,1.56154,1.72454,0.000993115,0.000993115,0.000993115
51,2200.5,1.51921,1.48414,1.62073,0.43681,0.67064,0.49895,0.29925,1.63462,1.62061,1.71147,0.000979362,0.000979362,0.000979362
52,2243.68,1.50724,1.48306,1.6127,0.74989,0.68012,0.74449,0.46716,1.57541,1.35647,1.65666,0.00096561,0.00096561,0.00096561
53,2291.25,1.51806,1.45946,1.62171,0.69706,0.70659,0.73449,0.446,1.61055,1.55709,1.6804,0.000951857,0.000951857,0.000951857
54,2333.07,1.51017,1.46243,1.61252,0.75904,0.6925,0.7376,0.45801,1.62333,1.43371,1.68226,0.000938104,0.000938104,0.000938104
55,2375.23,1.50542,1.43909,1.61047,0.74275,0.72643,0.77772,0.47665,1.5615,1.35342,1.64637,0.000924352,0.000924352,0.000924352
56,2423.56,1.50155,1.44486,1.61349,0.71763,0.68564,0.73451,0.4569,1.63147,1.40596,1.69403,0.000910599,0.000910599,0.000910599
57,2466.11,1.4877,1.43193,1.59859,0.74104,0.69891,0.73429,0.4488,1.64092,1.4359,1.69623,0.000896846,0.000896846,0.000896846
58,2508.35,1.47094,1.40482,1.57992,0.73655,0.7199,0.77212,0.4842,1.54428,1.36479,1.62652,0.000883093,0.000883093,0.000883093
59,2551.03,1.46287,1.43008,1.59162,0.67314,0.70896,0.72864,0.45676,1.57749,1.40887,1.6459,0.00086934,0.00086934,0.00086934
60,2593.26,1.46057,1.40328,1.57856,0.63785,0.61355,0.63112,0.36687,1.79668,1.64384,1.81535,0.000855588,0.000855588,0.000855588
61,2635.27,1.4626,1.39382,1.57466,0.70327,0.72326,0.7723,0.48113,1.54484,1.31842,1.61392,0.000841835,0.000841835,0.000841835
62,2677.96,1.43362,1.36202,1.56469,0.78885,0.75935,0.80671,0.50931,1.52972,1.28462,1.6056,0.000828082,0.000828082,0.000828082
63,2720.53,1.44491,1.36898,1.56503,0.78068,0.76089,0.79854,0.49632,1.52824,1.31406,1.62575,0.000814329,0.000814329,0.000814329
64,2762.95,1.44242,1.38617,1.56257,0.77199,0.74698,0.78008,0.48018,1.53219,1.35866,1.61502,0.000800577,0.000800577,0.000800577
65,2804.83,1.42453,1.33849,1.53572,0.75251,0.7333,0.77895,0.48632,1.56005,1.34208,1.63088,0.000786824,0.000786824,0.000786824
66,2846.95,1.40793,1.33578,1.52942,0.60292,0.7175,0.69509,0.42778,1.57002,1.33718,1.65257,0.000773071,0.000773071,0.000773071
67,2890.54,1.46249,1.36426,1.55766,0.78488,0.75887,0.79733,0.49362,1.55103,1.32285,1.60808,0.000759318,0.000759318,0.000759318
68,2932.45,1.40322,1.33364,1.53064,0.7463,0.74391,0.7997,0.50159,1.51615,1.23321,1.57668,0.000745566,0.000745566,0.000745566
69,2974.8,1.39721,1.30698,1.52299,0.80085,0.76095,0.82636,0.51913,1.48846,1.22394,1.58257,0.000731813,0.000731813,0.000731813
70,3023.28,1.40078,1.3112,1.52124,0.78225,0.74184,0.7976,0.48954,1.49835,1.34243,1.56978,0.00071806,0.00071806,0.00071806
71,3065.51,1.38297,1.29698,1.51724,0.82513,0.75085,0.8236,0.51956,1.49823,1.28496,1.5593,0.000704307,0.000704307,0.000704307
72,3115.75,1.39751,1.29074,1.50896,0.77445,0.76373,0.81603,0.52676,1.47667,1.22499,1.54567,0.000690555,0.000690555,0.000690555
73,3163.13,1.39318,1.29863,1.51117,0.79376,0.77589,0.82785,0.52405,1.49663,1.22423,1.57053,0.000676802,0.000676802,0.000676802
74,3205.19,1.36548,1.26412,1.50878,0.76707,0.77558,0.81549,0.51426,1.50875,1.25259,1.5811,0.000663049,0.000663049,0.000663049
75,3246.94,1.40165,1.30413,1.52296,0.78751,0.76023,0.80754,0.50574,1.53384,1.31959,1.58383,0.000649297,0.000649297,0.000649297
76,3288.77,1.38999,1.27496,1.51229,0.7823,0.75221,0.82217,0.52463,1.46018,1.21567,1.54698,0.000635544,0.000635544,0.000635544
77,3331.47,1.3587,1.2556,1.48443,0.80785,0.74344,0.83122,0.52889,1.47265,1.18975,1.55054,0.000621791,0.000621791,0.000621791
78,3374.21,1.35383,1.23876,1.48915,0.7677,0.79259,0.81937,0.50813,1.48618,1.26257,1.56879,0.000608038,0.000608038,0.000608038
79,3416.34,1.37195,1.25067,1.49885,0.80992,0.7642,0.83127,0.53139,1.43335,1.20179,1.51873,0.000594286,0.000594286,0.000594286
80,3464.87,1.36213,1.24552,1.4902,0.81279,0.73832,0.81656,0.51955,1.49195,1.25469,1.57105,0.000580533,0.000580533,0.000580533
81,3506.97,1.34892,1.23583,1.47584,0.84859,0.8164,0.8574,0.55515,1.42699,1.15126,1.52373,0.00056678,0.00056678,0.00056678
82,3551.06,1.32956,1.21098,1.46733,0.81333,0.77017,0.83173,0.52756,1.45741,1.21148,1.54667,0.000553027,0.000553027,0.000553027
83,3593.21,1.34243,1.20931,1.46711,0.82032,0.76933,0.84163,0.53422,1.47162,1.21149,1.55722,0.000539275,0.000539275,0.000539275
84,3635.4,1.32656,1.20593,1.46948,0.82085,0.7779,0.82356,0.52042,1.50955,1.34507,1.5812,0.000525522,0.000525522,0.000525522
85,3677.49,1.34264,1.20665,1.45958,0.83622,0.80474,0.86495,0.5513,1.4247,1.15066,1.51539,0.000511769,0.000511769,0.000511769
86,3720.17,1.32788,1.20232,1.4575,0.77882,0.76143,0.81167,0.52431,1.51283,1.24102,1.57738,0.000498016,0.000498016,0.000498016
87,3762.17,1.32118,1.20318,1.45476,0.81646,0.77678,0.82579,0.53723,1.44088,1.28973,1.53216,0.000484263,0.000484263,0.000484263
88,3805.26,1.29524,1.17971,1.43669,0.84137,0.79451,0.86595,0.55938,1.40075,1.12233,1.50393,0.000470511,0.000470511,0.000470511
89,3853.99,1.31551,1.18975,1.4641,0.76864,0.81176,0.83854,0.53923,1.44547,1.19138,1.53169,0.000456758,0.000456758,0.000456758
90,3895.82,1.30224,1.18162,1.44912,0.8369,0.77579,0.83491,0.51985,1.49378,1.23731,1.54861,0.000443005,0.000443005,0.000443005
91,3938.1,1.28574,1.16728,1.42866,0.86921,0.78861,0.87051,0.57138,1.42054,1.0935,1.50406,0.000429253,0.000429253,0.000429253
92,3986.71,1.30082,1.18155,1.43826,0.86861,0.78344,0.86959,0.56824,1.4039,1.11933,1.49777,0.0004155,0.0004155,0.0004155
93,4029.19,1.29637,1.149,1.44009,0.86137,0.82698,0.8839,0.58747,1.40045,1.05755,1.49263,0.000401747,0.000401747,0.000401747
94,4077.44,1.28223,1.1632,1.43001,0.84795,0.82093,0.88839,0.5811,1.40147,1.07093,1.50532,0.000387994,0.000387994,0.000387994
95,4119.23,1.29447,1.17189,1.43587,0.84482,0.8165,0.87553,0.56823,1.42969,1.08285,1.52077,0.000374242,0.000374242,0.000374242
96,4161.43,1.27655,1.13404,1.41676,0.84052,0.79491,0.86422,0.56975,1.42764,1.0914,1.51434,0.000360489,0.000360489,0.000360489
97,4203.41,1.27666,1.14133,1.42308,0.85268,0.78899,0.84842,0.55392,1.45696,1.1445,1.51469,0.000346736,0.000346736,0.000346736
98,4245.81,1.26343,1.14248,1.40719,0.85559,0.82544,0.88146,0.58008,1.38707,1.07293,1.48707,0.000332983,0.000332983,0.000332983
99,4287.56,1.24835,1.11777,1.39431,0.8506,0.82801,0.87952,0.57253,1.38162,1.05984,1.48238,0.000319231,0.000319231,0.000319231
100,4329.6,1.26496,1.12812,1.4186,0.84978,0.8062,0.8776,0.58123,1.38381,1.05714,1.48239,0.000305478,0.000305478,0.000305478
101,4371.78,1.2727,1.13113,1.42405,0.84992,0.83496,0.88089,0.59039,1.38218,1.087,1.47947,0.000291725,0.000291725,0.000291725
102,4419.35,1.23781,1.09737,1.40456,0.84206,0.83499,0.8821,0.58491,1.38112,1.05639,1.48104,0.000277972,0.000277972,0.000277972
103,4461.67,1.23902,1.09022,1.39879,0.85701,0.84058,0.89501,0.59009,1.36409,1.03361,1.46604,0.00026422,0.00026422,0.00026422
104,4504.94,1.24447,1.09872,1.40258,0.84785,0.83919,0.88212,0.57138,1.42334,1.09571,1.4975,0.000250467,0.000250467,0.000250467
105,4547.1,1.25263,1.10282,1.40902,0.87862,0.83895,0.89416,0.59556,1.35821,1.02547,1.45931,0.000236714,0.000236714,0.000236714
