epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1154.83,1.87493,2.21202,2.00096,0.41513,0.26584,0.25402,0.10287,1.93855,2.15025,2.03216,0.000540037,0.000540037,0.000540037
43,1182.42,1.87561,2.21946,1.99714,0.42505,0.29987,0.2635,0.09927,1.92711,2.13908,2.01268,0.000531038,0.000531038,0.000531038
44,1209.77,1.86682,2.19382,1.98547,0.47936,0.26724,0.27858,0.10546,1.93068,2.16135,2.02624,0.000522039,0.000522039,0.000522039
45,1237.18,1.84815,2.16406,1.96369,0.57198,0.28771,0.31223,0.12135,1.89602,2.04999,2.01099,0.00051304,0.00051304,0.00051304
46,1264.41,1.82694,2.15886,1.95642,0.49311,0.28268,0.28493,0.11769,1.8695,2.17036,1.96848,0.00050404,0.00050404,0.00050404
47,1291.77,1.8267,2.14957,1.95849,0.61753,0.27798,0.30239,0.12358,1.84051,2.08172,1.97862,0.000495041,0.000495041,0.000495041
48,1318.75,1.81885,2.12322,1.95334,0.50835,0.28547,0.31006,0.12832,1.82942,1.98175,1.95889,0.000486042,0.000486042,0.000486042
49,1345.88,1.81824,2.12796,1.94052,0.4536,0.29244,0.30699,0.12306,1.87615,2.0647,1.95628,0.000477043,0.000477043,0.000477043
50,1372.79,1.81226,2.10976,1.94567,0.46845,0.3185,0.31318,0.1285,1.81384,2.05463,1.91624,0.000468044,0.000468044,0.000468044
51,1399.86,1.79374,2.0768,1.92802,0.52296,0.31154,0.31425,0.13566,1.86219,1.95625,1.93757,0.000459045,0.000459045,0.000459045
52,1427.15,1.76969,2.08577,1.91018,0.43722,0.32611,0.32052,0.13593,1.78633,1.96523,1.91049,0.000450046,0.000450046,0.000450046
53,1454.69,1.78806,2.04401,1.90966,0.57088,0.31605,0.35961,0.15931,1.79806,1.90658,1.91754,0.000441047,0.000441047,0.000441047
54,1482.11,1.80288,2.06135,1.92072,0.45587,0.34628,0.3541,0.15314,1.79716,1.97219,1.90344,0.000432048,0.000432048,0.000432048
55,1509.54,1.77873,2.04831,1.91517,0.44904,0.39372,0.36965,0.1667,1.79385,1.8972,1.8891,0.000423049,0.000423049,0.000423049
56,1536.77,1.76135,2.0383,1.8961,0.45939,0.34343,0.34968,0.15497,1.73701,1.89315,1.85063,0.000414049,0.000414049,0.000414049
57,1564.03,1.74677,1.99344,1.8839,0.52923,0.36251,0.38034,0.17131,1.74509,1.90674,1.86854,0.00040505,0.00040505,0.00040505
58,1591.02,1.76361,2.00189,1.87501,0.52694,0.37417,0.36239,0.15949,1.7671,1.87666,1.85469,0.000396051,0.000396051,0.000396051
59,1618.27,1.75126,2.01601,1.88862,0.47841,0.36114,0.35256,0.14836,1.81475,2.0289,1.8913,0.000387052,0.000387052,0.000387052
60,1645.31,1.74242,1.98149,1.86947,0.45748,0.39154,0.38027,0.17147,1.74539,1.8351,1.86163,0.000378053,0.000378053,0.000378053
61,1671.93,1.74155,1.96394,1.88064,0.48859,0.35108,0.35758,0.15415,1.83513,1.97063,1.89169,0.000369054,0.000369054,0.000369054
62,1698.18,1.72831,1.97348,1.85481,0.47236,0.39941,0.39467,0.17852,1.73027,1.8311,1.83855,0.000360055,0.000360055,0.000360055
63,1725.1,1.73324,1.95309,1.85638,0.54464,0.39526,0.39491,0.18393,1.73223,1.79095,1.83813,0.000351056,0.000351056,0.000351056
64,1752.45,1.7066,1.9622,1.85414,0.48234,0.38486,0.38989,0.18522,1.73049,1.79586,1.84388,0.000342057,0.000342057,0.000342057
65,1779.67,1.7338,1.93945,1.84581,0.5536,0.35514,0.37958,0.16734,1.78484,1.85334,1.85472,0.000333058,0.000333058,0.000333058
66,1806.99,1.70696,1.93355,1.83077,0.55507,0.40457,0.42949,0.2055,1.68443,1.75142,1.79609,0.000324058,0.000324058,0.000324058
67,1834.24,1.70183,1.91204,1.80785,0.55128,0.39783,0.41873,0.20303,1.68049,1.74153,1.78883,0.000315059,0.000315059,0.000315059
68,1861.57,1.68204,1.86786,1.81377,0.54075,0.43155,0.42448,0.20681,1.68022,1.80335,1.79468,0.00030606,0.00030606,0.00030606
69,1888.86,1.69036,1.92443,1.81477,0.52009,0.37881,0.40301,0.19446,1.68675,1.86919,1.78453,0.000297061,0.000297061,0.000297061
70,1916.12,1.6813,1.88116,1.79985,0.4688,0.39783,0.41359,0.20536,1.70336,1.73842,1.8042,0.000288062,0.000288062,0.000288062
71,1942.58,1.69417,1.89372,1.81652,0.69666,0.37223,0.4382,0.20994,1.65402,1.72367,1.76857,0.000279063,0.000279063,0.000279063
72,1968.76,1.68613,1.87819,1.81324,0.55421,0.42924,0.45104,0.21457,1.67022,1.72323,1.78894,0.000270064,0.000270064,0.000270064
73,1996.08,1.65476,1.83718,1.78862,0.48463,0.38634,0.41963,0.19325,1.67812,1.726,1.78081,0.000261065,0.000261065,0.000261065
74,2023.51,1.63664,1.84799,1.78615,0.60445,0.41383,0.45022,0.22451,1.66555,1.69437,1.75695,0.000252066,0.000252066,0.000252066
75,2050.74,1.6605,1.83266,1.79296,0.55631,0.40709,0.43552,0.21303,1.6517,1.67738,1.7539,0.000243067,0.000243067,0.000243067
76,2078.02,1.66838,1.84796,1.79676,0.56542,0.39782,0.4311,0.20582,1.64053,1.66028,1.75097,0.000234068,0.000234068,0.000234068
77,2105.78,1.64273,1.79232,1.77859,0.51781,0.4479,0.42384,0.20462,1.62832,1.65586,1.74413,0.000225068,0.000225068,0.000225068
78,2133.56,1.61959,1.82426,1.76334,0.60666,0.42623,0.43898,0.21556,1.68671,1.66176,1.78391,0.000216069,0.000216069,0.000216069
79,2161.33,1.65763,1.82105,1.7695,0.57563,0.43938,0.45248,0.22388,1.63587,1.61953,1.72692,0.00020707,0.00020707,0.00020707
80,2188.98,1.63415,1.79254,1.7686,0.54692,0.39337,0.42082,0.20427,1.69257,1.72469,1.78259,0.000198071,0.000198071,0.000198071
81,2217.08,1.59887,1.7536,1.75385,0.56173,0.45498,0.45901,0.2269,1.63334,1.62163,1.73144,0.000189072,0.000189072,0.000189072
82,2244.69,1.60065,1.76397,1.72595,0.5855,0.41995,0.44608,0.22014,1.66605,1.66587,1.7521,0.000180073,0.000180073,0.000180073
83,2271.6,1.61658,1.76774,1.76127,0.51975,0.43646,0.45892,0.2294,1.61902,1.61627,1.73592,0.000171074,0.000171074,0.000171074
84,2297.83,1.59683,1.74981,1.7423,0.56252,0.42784,0.4663,0.23078,1.65091,1.61269,1.75501,0.000162075,0.000162075,0.000162075
85,2324.75,1.58753,1.74731,1.72698,0.66818,0.42519,0.4908,0.24962,1.63601,1.58951,1.7277,0.000153076,0.000153076,0.000153076
86,2352.5,1.60368,1.72566,1.73105,0.64318,0.44102,0.50561,0.25301,1.60338,1.61549,1.71179,0.000144077,0.000144077,0.000144077
87,2380.14,1.58519,1.72959,1.73614,0.5808,0.44384,0.49299,0.25762,1.59805,1.57071,1.70184,0.000135077,0.000135077,0.000135077
88,2407.43,1.59752,1.72563,1.72899,0.56171,0.43007,0.48712,0.25658,1.60317,1.59269,1.70431,0.000126078,0.000126078,0.000126078
89,2434.8,1.58791,1.73279,1.72764,0.55997,0.44938,0.48618,0.245,1.60141,1.59181,1.70607,0.000117079,0.000117079,0.000117079
90,2461.57,1.57533,1.69621,1.72327,0.59945,0.43675,0.48596,0.2433,1.63603,1.61038,1.72649,0.00010808,0.00010808,0.00010808
91,2488.97,1.6506,1.6881,1.76772,0.63711,0.40842,0.47892,0.24254,1.62309,1.60582,1.72008,9.9081e-05,9.9081e-05,9.9081e-05
92,2515.56,1.57207,1.57454,1.70492,0.63781,0.46551,0.52373,0.27921,1.58774,1.53224,1.70202,9.00819e-05,9.00819e-05,9.00819e-05
93,2541.56,1.58031,1.5742,1.71944,0.61477,0.44854,0.52614,0.27761,1.57973,1.52366,1.6923,8.10828e-05,8.10828e-05,8.10828e-05
94,2567.01,1.56678,1.54185,1.69972,0.73635,0.44052,0.54545,0.28936,1.55048,1.49061,1.66668,7.20837e-05,7.20837e-05,7.20837e-05
95,2592.33,1.54853,1.49218,1.68607,0.76052,0.44087,0.55314,0.29891,1.5617,1.48897,1.67129,6.30846e-05,6.30846e-05,6.30846e-05
96,2618.44,1.53235,1.50485,1.67296,0.6651,0.46789,0.55276,0.29698,1.54832,1.47617,1.67015,5.40855e-05,5.40855e-05,5.40855e-05
97,2644.4,1.54653,1.49528,1.67968,0.75896,0.43145,0.55695,0.30149,1.54286,1.46361,1.66917,4.50864e-05,4.50864e-05,4.50864e-05
98,2670.36,1.53701,1.49267,1.66961,0.81726,0.44384,0.56194,0.30326,1.53601,1.45179,1.6656,3.60873e-05,3.60873e-05,3.60873e-05
99,2696.56,1.52484,1.47142,1.67537,0.76875,0.44087,0.55541,0.29647,1.543,1.45344,1.66575,2.70882e-05,2.70882e-05,2.70882e-05
100,2722.6,1.50592,1.46703,1.65739,0.76239,0.43343,0.55745,0.30291,1.53874,1.45244,1.66372,1.80891e-05,1.80891e-05,1.80891e-05
